data_venda,produto,categoria,vendedor,regiao,quantidade,valor_unitario,valor_total
01/01/2024,Notebook Pro,Eletrônicos,Ana Silva,Sul,2,"3.500,00","7.000,00"
15/01/2024,Mouse Gamer,Periféricos,Bruno Costa,Sudeste,10,"150,00","1.500,00"
22/01/2024,Monitor 27p,Eletrônicos,Carlos Lima,Norte,1,"1.200,00","1.200,00"
05/02/2024,Teclado Mecânico,Periféricos,Ana Silva,Sul,5,"320,00","1.600,00"
12/02/2024,Notebook Pro,Eletrônicos,Diana Melo,Centro-Oeste,3,"3.500,00","10.500,00"
18/02/2024,Headset USB,Periféricos,Bruno Costa,Sudeste,8,"250,00","2.000,00"
25/02/2024,Webcam HD,Periféricos,Carlos Lima,Norte,4,"180,00","720,00"
03/03/2024,Tablet 10p,Eletrônicos,Ana Silva,Sul,2,"1.800,00","3.600,00"
10/03/2024,Mouse Gamer,Periféricos,Diana Melo,Centro-Oeste,15,"150,00","2.250,00"
17/03/2024,Notebook Pro,Eletrônicos,Bruno Costa,Sudeste,1,"3.500,00","3.500,00"
24/03/2024,Monitor 27p,Eletrônicos,Ana Silva,Sul,2,"1.200,00","2.400,00"
31/03/2024,Teclado Mecânico,Periféricos,Carlos Lima,Norte,7,"320,00","2.240,00"
07/04/2024,Headset USB,Periféricos,Bruno Costa,Sudeste,12,"250,00","3.000,00"
14/04/2024,Tablet 10p,Eletrônicos,Diana Melo,Centro-Oeste,4,"1.800,00","7.200,00"
21/04/2024,Webcam HD,Periféricos,Ana Silva,Sul,6,"180,00","1.080,00"
28/04/2024,Notebook Pro,Eletrônicos,Carlos Lima,Norte,2,"3.500,00","7.000,00"
05/05/2024,Mouse Gamer,Periféricos,Bruno Costa,Sudeste,20,"150,00","3.000,00"
12/05/2024,Monitor 27p,Eletrônicos,Ana Silva,Sul,3,"1.200,00","3.600,00"
19/05/2024,Teclado Mecânico,Periféricos,Diana Melo,Centro-Oeste,9,"320,00","2.880,00"
26/05/2024,Headset USB,Periféricos,Carlos Lima,Norte,11,"250,00","2.750,00"
